"","x"
"192","lh.aparc.a2009s.stats.487.GausCurv.S_calcarine"
"193","lh.aparc.a2009s.stats.488.GausCurv.S_central"
"194","lh.aparc.a2009s.stats.489.GausCurv.S_cingul-Marginalis"
"195","lh.aparc.a2009s.stats.490.GausCurv.S_circular_insula_ant"
"196","lh.aparc.a2009s.stats.491.GausCurv.S_circular_insula_inf"
"197","lh.aparc.a2009s.stats.492.GausCurv.S_circular_insula_sup"
"198","lh.aparc.a2009s.stats.493.GausCurv.S_collat_transv_ant"
"199","lh.aparc.a2009s.stats.494.GausCurv.S_collat_transv_post"
"200","lh.aparc.a2009s.stats.495.GausCurv.S_front_inf"
"201","lh.aparc.a2009s.stats.496.GausCurv.S_front_middle"
"202","lh.aparc.a2009s.stats.497.GausCurv.S_front_sup"
"203","lh.aparc.a2009s.stats.498.GausCurv.S_interm_prim-Jensen"
"204","lh.aparc.a2009s.stats.499.GausCurv.S_intrapariet_and_P_trans"
"205","lh.aparc.a2009s.stats.500.GausCurv.S_oc_middle_and_Lunatus"
"206","lh.aparc.a2009s.stats.501.GausCurv.S_oc_sup_and_transversal"
"207","lh.aparc.a2009s.stats.502.GausCurv.S_occipital_ant"
"208","lh.aparc.a2009s.stats.503.GausCurv.S_oc-temp_lat"
"209","lh.aparc.a2009s.stats.504.GausCurv.S_oc-temp_med_and_Lingual"
"210","lh.aparc.a2009s.stats.505.GausCurv.S_orbital_lateral"
"211","lh.aparc.a2009s.stats.506.GausCurv.S_orbital_med-olfact"
"212","lh.aparc.a2009s.stats.507.GausCurv.S_orbital-H_Shaped"
"213","lh.aparc.a2009s.stats.508.GausCurv.S_parieto_occipital"
"214","lh.aparc.a2009s.stats.509.GausCurv.S_pericallosal"
"215","lh.aparc.a2009s.stats.510.GausCurv.S_postcentral"
"216","lh.aparc.a2009s.stats.511.GausCurv.S_precentral-inf-part"
"217","lh.aparc.a2009s.stats.512.GausCurv.S_precentral-sup-part"
"218","lh.aparc.a2009s.stats.513.GausCurv.S_suborbital"
"219","lh.aparc.a2009s.stats.514.GausCurv.S_subparietal"
"220","lh.aparc.a2009s.stats.515.GausCurv.S_temporal_inf"
"221","lh.aparc.a2009s.stats.516.GausCurv.S_temporal_sup"
"222","lh.aparc.a2009s.stats.517.GausCurv.S_temporal_transverse"
"223","rh.aparc.a2009s.stats.222.ThickAvg.G_and_S_frontomargin"
"224","rh.aparc.a2009s.stats.223.ThickAvg.G_and_S_occipital_inf"
"225","rh.aparc.a2009s.stats.224.ThickAvg.G_and_S_paracentral"
"226","rh.aparc.a2009s.stats.225.ThickAvg.G_and_S_subcentral"
"227","rh.aparc.a2009s.stats.226.ThickAvg.G_and_S_transv_frontopol"
"228","rh.aparc.a2009s.stats.227.ThickAvg.G_and_S_cingul-Ant"
"229","rh.aparc.a2009s.stats.228.ThickAvg.G_and_S_cingul-Mid-Ant"
"230","rh.aparc.a2009s.stats.229.ThickAvg.G_and_S_cingul-Mid-Post"
"231","rh.aparc.a2009s.stats.230.ThickAvg.G_cingul-Post-dorsal"
"232","rh.aparc.a2009s.stats.231.ThickAvg.G_cingul-Post-ventral"
"233","rh.aparc.a2009s.stats.232.ThickAvg.G_cuneus"
"234","rh.aparc.a2009s.stats.233.ThickAvg.G_front_inf-Opercular"
"235","rh.aparc.a2009s.stats.234.ThickAvg.G_front_inf-Orbital"
"236","rh.aparc.a2009s.stats.235.ThickAvg.G_front_inf-Triangul"
"237","rh.aparc.a2009s.stats.236.ThickAvg.G_front_middle"
"238","rh.aparc.a2009s.stats.237.ThickAvg.G_front_sup"
"239","rh.aparc.a2009s.stats.238.ThickAvg.G_Ins_lg_and_S_cent_ins"
"240","rh.aparc.a2009s.stats.239.ThickAvg.G_insular_short"
"241","rh.aparc.a2009s.stats.240.ThickAvg.G_occipital_middle"
"242","rh.aparc.a2009s.stats.241.ThickAvg.G_occipital_sup"
"243","rh.aparc.a2009s.stats.242.ThickAvg.G_oc-temp_lat-fusifor"
"244","rh.aparc.a2009s.stats.243.ThickAvg.G_oc-temp_med-Lingual"
"245","rh.aparc.a2009s.stats.244.ThickAvg.G_oc-temp_med-Parahip"
"246","rh.aparc.a2009s.stats.245.ThickAvg.G_orbital"
"247","rh.aparc.a2009s.stats.246.ThickAvg.G_pariet_inf-Angular"
"248","rh.aparc.a2009s.stats.247.ThickAvg.G_pariet_inf-Supramar"
"249","rh.aparc.a2009s.stats.248.ThickAvg.G_parietal_sup"
"250","rh.aparc.a2009s.stats.249.ThickAvg.G_postcentral"
"251","rh.aparc.a2009s.stats.250.ThickAvg.G_precentral"
"252","rh.aparc.a2009s.stats.251.ThickAvg.G_precuneus"
"253","rh.aparc.a2009s.stats.252.ThickAvg.G_rectus"
"254","rh.aparc.a2009s.stats.253.ThickAvg.G_subcallosal"
"255","rh.aparc.a2009s.stats.254.ThickAvg.G_temp_sup-G_T_transv"
"256","rh.aparc.a2009s.stats.255.ThickAvg.G_temp_sup-Lateral"
"257","rh.aparc.a2009s.stats.256.ThickAvg.G_temp_sup-Plan_polar"
"258","rh.aparc.a2009s.stats.257.ThickAvg.G_temp_sup-Plan_tempo"
"259","rh.aparc.a2009s.stats.258.ThickAvg.G_temporal_inf"
"260","rh.aparc.a2009s.stats.259.ThickAvg.G_temporal_middle"
"261","rh.aparc.a2009s.stats.260.ThickAvg.Lat_Fis-ant-Horizont"
"262","rh.aparc.a2009s.stats.261.ThickAvg.Lat_Fis-ant-Vertical"
"263","rh.aparc.a2009s.stats.262.ThickAvg.Lat_Fis-post"
"264","rh.aparc.a2009s.stats.263.ThickAvg.Pole_occipital"
"265","rh.aparc.a2009s.stats.264.ThickAvg.Pole_temporal"
"266","rh.aparc.a2009s.stats.265.ThickAvg.S_calcarine"
"267","rh.aparc.a2009s.stats.266.ThickAvg.S_central"
"268","rh.aparc.a2009s.stats.267.ThickAvg.S_cingul-Marginalis"
"269","rh.aparc.a2009s.stats.268.ThickAvg.S_circular_insula_ant"
"270","rh.aparc.a2009s.stats.269.ThickAvg.S_circular_insula_inf"
"271","rh.aparc.a2009s.stats.270.ThickAvg.S_circular_insula_sup"
"272","rh.aparc.a2009s.stats.271.ThickAvg.S_collat_transv_ant"
"273","rh.aparc.a2009s.stats.272.ThickAvg.S_collat_transv_post"
"274","rh.aparc.a2009s.stats.273.ThickAvg.S_front_inf"
"275","rh.aparc.a2009s.stats.274.ThickAvg.S_front_middle"
"276","rh.aparc.a2009s.stats.275.ThickAvg.S_front_sup"
"277","rh.aparc.a2009s.stats.276.ThickAvg.S_interm_prim-Jensen"
"278","rh.aparc.a2009s.stats.277.ThickAvg.S_intrapariet_and_P_trans"
"279","rh.aparc.a2009s.stats.278.ThickAvg.S_oc_middle_and_Lunatus"
"280","rh.aparc.a2009s.stats.279.ThickAvg.S_oc_sup_and_transversal"
"281","rh.aparc.a2009s.stats.280.ThickAvg.S_occipital_ant"
"282","rh.aparc.a2009s.stats.281.ThickAvg.S_oc-temp_lat"
"283","rh.aparc.a2009s.stats.282.ThickAvg.S_oc-temp_med_and_Lingual"
"284","rh.aparc.a2009s.stats.283.ThickAvg.S_orbital_lateral"
"285","rh.aparc.a2009s.stats.284.ThickAvg.S_orbital_med-olfact"
"286","rh.aparc.a2009s.stats.285.ThickAvg.S_orbital-H_Shaped"
"287","rh.aparc.a2009s.stats.286.ThickAvg.S_parieto_occipital"
"288","rh.aparc.a2009s.stats.287.ThickAvg.S_pericallosal"
"289","rh.aparc.a2009s.stats.288.ThickAvg.S_postcentral"
"290","rh.aparc.a2009s.stats.289.ThickAvg.S_precentral-inf-part"
"291","rh.aparc.a2009s.stats.290.ThickAvg.S_precentral-sup-part"
"292","rh.aparc.a2009s.stats.291.ThickAvg.S_suborbital"
"293","rh.aparc.a2009s.stats.292.ThickAvg.S_subparietal"
"294","rh.aparc.a2009s.stats.293.ThickAvg.S_temporal_inf"
"295","rh.aparc.a2009s.stats.294.ThickAvg.S_temporal_sup"
"296","rh.aparc.a2009s.stats.295.ThickAvg.S_temporal_transverse"
"297","rh.aparc.a2009s.stats.370.MeanCurv.G_and_S_frontomargin"
"298","rh.aparc.a2009s.stats.371.MeanCurv.G_and_S_occipital_inf"
"299","rh.aparc.a2009s.stats.372.MeanCurv.G_and_S_paracentral"
"300","rh.aparc.a2009s.stats.373.MeanCurv.G_and_S_subcentral"
"301","rh.aparc.a2009s.stats.374.MeanCurv.G_and_S_transv_frontopol"
"302","rh.aparc.a2009s.stats.375.MeanCurv.G_and_S_cingul-Ant"
"303","rh.aparc.a2009s.stats.376.MeanCurv.G_and_S_cingul-Mid-Ant"
"304","rh.aparc.a2009s.stats.377.MeanCurv.G_and_S_cingul-Mid-Post"
"305","rh.aparc.a2009s.stats.378.MeanCurv.G_cingul-Post-dorsal"
"306","rh.aparc.a2009s.stats.379.MeanCurv.G_cingul-Post-ventral"
"307","rh.aparc.a2009s.stats.380.MeanCurv.G_cuneus"
"308","rh.aparc.a2009s.stats.381.MeanCurv.G_front_inf-Opercular"
"309","rh.aparc.a2009s.stats.382.MeanCurv.G_front_inf-Orbital"
"310","rh.aparc.a2009s.stats.383.MeanCurv.G_front_inf-Triangul"
"311","rh.aparc.a2009s.stats.384.MeanCurv.G_front_middle"
"312","rh.aparc.a2009s.stats.385.MeanCurv.G_front_sup"
"313","rh.aparc.a2009s.stats.386.MeanCurv.G_Ins_lg_and_S_cent_ins"
"314","rh.aparc.a2009s.stats.387.MeanCurv.G_insular_short"
"315","rh.aparc.a2009s.stats.388.MeanCurv.G_occipital_middle"
"316","rh.aparc.a2009s.stats.389.MeanCurv.G_occipital_sup"
"317","rh.aparc.a2009s.stats.390.MeanCurv.G_oc-temp_lat-fusifor"
"318","rh.aparc.a2009s.stats.391.MeanCurv.G_oc-temp_med-Lingual"
"319","rh.aparc.a2009s.stats.392.MeanCurv.G_oc-temp_med-Parahip"
"320","rh.aparc.a2009s.stats.393.MeanCurv.G_orbital"
"321","rh.aparc.a2009s.stats.394.MeanCurv.G_pariet_inf-Angular"
"322","rh.aparc.a2009s.stats.395.MeanCurv.G_pariet_inf-Supramar"
"323","rh.aparc.a2009s.stats.396.MeanCurv.G_parietal_sup"
"324","rh.aparc.a2009s.stats.397.MeanCurv.G_postcentral"
"325","rh.aparc.a2009s.stats.398.MeanCurv.G_precentral"
"326","rh.aparc.a2009s.stats.399.MeanCurv.G_precuneus"
"327","rh.aparc.a2009s.stats.400.MeanCurv.G_rectus"
"328","rh.aparc.a2009s.stats.401.MeanCurv.G_subcallosal"
"329","rh.aparc.a2009s.stats.402.MeanCurv.G_temp_sup-G_T_transv"
"330","rh.aparc.a2009s.stats.403.MeanCurv.G_temp_sup-Lateral"
"331","rh.aparc.a2009s.stats.404.MeanCurv.G_temp_sup-Plan_polar"
"332","rh.aparc.a2009s.stats.405.MeanCurv.G_temp_sup-Plan_tempo"
"333","rh.aparc.a2009s.stats.406.MeanCurv.G_temporal_inf"
"334","rh.aparc.a2009s.stats.407.MeanCurv.G_temporal_middle"
"335","rh.aparc.a2009s.stats.408.MeanCurv.Lat_Fis-ant-Horizont"
"336","rh.aparc.a2009s.stats.409.MeanCurv.Lat_Fis-ant-Vertical"
"337","rh.aparc.a2009s.stats.410.MeanCurv.Lat_Fis-post"
"338","rh.aparc.a2009s.stats.411.MeanCurv.Pole_occipital"
"339","rh.aparc.a2009s.stats.412.MeanCurv.Pole_temporal"
"340","rh.aparc.a2009s.stats.413.MeanCurv.S_calcarine"
"341","rh.aparc.a2009s.stats.414.MeanCurv.S_central"
"342","rh.aparc.a2009s.stats.415.MeanCurv.S_cingul-Marginalis"
"343","rh.aparc.a2009s.stats.416.MeanCurv.S_circular_insula_ant"
"344","rh.aparc.a2009s.stats.417.MeanCurv.S_circular_insula_inf"
"345","rh.aparc.a2009s.stats.418.MeanCurv.S_circular_insula_sup"
"346","rh.aparc.a2009s.stats.419.MeanCurv.S_collat_transv_ant"
"347","rh.aparc.a2009s.stats.420.MeanCurv.S_collat_transv_post"
"348","rh.aparc.a2009s.stats.421.MeanCurv.S_front_inf"
"349","rh.aparc.a2009s.stats.422.MeanCurv.S_front_middle"
"350","rh.aparc.a2009s.stats.423.MeanCurv.S_front_sup"
"351","rh.aparc.a2009s.stats.424.MeanCurv.S_interm_prim-Jensen"
"352","rh.aparc.a2009s.stats.425.MeanCurv.S_intrapariet_and_P_trans"
"353","rh.aparc.a2009s.stats.426.MeanCurv.S_oc_middle_and_Lunatus"
"354","rh.aparc.a2009s.stats.427.MeanCurv.S_oc_sup_and_transversal"
"355","rh.aparc.a2009s.stats.428.MeanCurv.S_occipital_ant"
"356","rh.aparc.a2009s.stats.429.MeanCurv.S_oc-temp_lat"
"357","rh.aparc.a2009s.stats.430.MeanCurv.S_oc-temp_med_and_Lingual"
"358","rh.aparc.a2009s.stats.431.MeanCurv.S_orbital_lateral"
"359","rh.aparc.a2009s.stats.432.MeanCurv.S_orbital_med-olfact"
"360","rh.aparc.a2009s.stats.433.MeanCurv.S_orbital-H_Shaped"
